JSON File,Configuration,Median Z-Score,Median Perplexity Increase,Below Threshold (%)
attacked_results_hard.json,acro,-1.3237136192255237,0.18870162963867188,28.52233676975945
attacked_results_hard.json,acro + redgreen,-3.1085313582761938,1.0171265602111816,55.670103092783506
attacked_results_hard.json,all three,-7.784409358272367,2.0886690616607666,95.1890034364261
attacked_results_hard.json,baseline,-0.5054182628837796,0.0,0.3436426116838488
attacked_results_hard.json,redgreen,-2.496844801407312,0.5961780548095703,49.140893470790374
attacked_results_hard.json,senso,-5.068724731099469,0.505439043045044,80.41237113402062
attacked_results_hard.json,senso + acro,-5.500230123677339,1.5020661354064941,89.3470790378007
attacked_results_hard.json,senso + redgreen,-6.763243847832513,1.095421314239502,84.19243986254295
attacked_results_llama3b.json,acro,-1.1101377346923211,0.3466472625732422,31.3915857605178
attacked_results_llama3b.json,acro + redgreen,-3.703670055921388,0.7892749309539795,64.07766990291263
attacked_results_llama3b.json,all three,-7.949510244771825,2.4334864616394043,95.79288025889967
attacked_results_llama3b.json,baseline,-0.38244721274898774,0.0,0.9708737864077669
attacked_results_llama3b.json,redgreen,-2.945083655205092,0.16270434856414795,54.0453074433657
attacked_results_llama3b.json,senso,-5.887626996293576,0.9121618270874023,85.11326860841424
attacked_results_llama3b.json,senso + acro,-5.958812167340203,1.779522180557251,90.61488673139159
attacked_results_llama3b.json,senso + redgreen,-6.922221686371792,1.7637135982513428,90.29126213592234
attacked_results_medium.json,acro,-1.3855573397115726,0.42382317781448364,28.225806451612907
attacked_results_medium.json,acro + redgreen,-2.4414255956141555,0.6077837944030762,46.774193548387096
attacked_results_medium.json,all three,-4.743913458338479,1.265354037284851,82.52688172043011
attacked_results_medium.json,baseline,-0.5574160721215569,0.0,2.4193548387096775
attacked_results_medium.json,redgreen,-1.7536072679794916,0.4496225118637085,34.13978494623656
attacked_results_medium.json,senso,-3.223235101993273,0.22493577003479004,58.06451612903226
attacked_results_medium.json,senso + acro,-3.9358832731744395,1.091033399105072,73.9247311827957
attacked_results_medium.json,senso + redgreen,-3.974595447012127,1.0748686790466309,70.6989247311828
attacked_results_mistral.json,acro,-2.0086272730825123,0.9122240543365479,42.59927797833935
attacked_results_mistral.json,acro + redgreen,-2.0947504252978564,0.9436883926391602,40.07220216606498
attacked_results_mistral.json,all three,-4.016038383591426,2.201359272003174,73.6462093862816
attacked_results_mistral.json,baseline,-0.3264568858343719,0.0,1.444043321299639
attacked_results_mistral.json,redgreen,-0.7650113673512854,0.3688507080078125,23.465703971119133
attacked_results_mistral.json,senso,-2.721377915856777,0.407503604888916,54.87364620938629
attacked_results_mistral.json,senso + acro,-3.4725305655738343,1.3530805110931396,69.31407942238266
attacked_results_mistral.json,senso + redgreen,-3.183851060206122,0.9375755786895752,58.844765342960294
attacked_results_soft.json,acro,-1.271695888350885,0.2376556396484375,27.722772277227726
attacked_results_soft.json,acro + redgreen,-1.8947642668398699,0.47987937927246094,35.973597359735976
attacked_results_soft.json,all three,-2.4029563064475044,0.5351791381835938,44.884488448844884
attacked_results_soft.json,baseline,-0.401051762785321,0.0,1.3201320132013201
attacked_results_soft.json,redgreen,-1.0950289007138332,0.232682466506958,29.042904290429046
attacked_results_soft.json,senso,-1.1823695037151944,0.11697804927825928,26.072607260726073
attacked_results_soft.json,senso + acro,-1.899191358466052,0.6629784107208252,38.613861386138616
attacked_results_soft.json,senso + redgreen,-2.0456896942438174,0.336200475692749,43.56435643564357
